04/11/2017-Southampton-Burnley, O_Home:1.43453, D_Home:1.11121, O_Away:1.33825, D_Away:1.10667, Rest Home5, Rest Away4, Win :0.46, Draw :0.3
04/11/2017-Stoke-Leicester, O_Home:1.51326, D_Home:1.26114, O_Away:1.57326, D_Away:1.15468, Rest Home6, Rest Away5, Win :0.41, Draw :0.27
04/11/2017-Swansea-Brighton, O_Home:1.2462, D_Home:1.22539, O_Away:1.14075, D_Away:1.22413, Rest Home6, Rest Away5, Win :0.46, Draw :0.3
04/11/2017-West Ham-Liverpool, O_Home:1.44103, D_Home:1.34729, O_Away:2.34885, D_Away:0.89857, Rest Home7, Rest Away2, Win :0.19, Draw :0.22
05/11/2017-Chelsea-Man United, O_Home:2.32611, D_Home:0.89123, O_Away:2.27689, D_Away:0.68651, Rest Home4, Rest Away4, Win :0.39, Draw :0.26
05/11/2017-Everton-Watford, O_Home:1.52272, D_Home:1.24818, O_Away:1.51972, D_Away:1.25146, Rest Home2, Rest Away8, Win :0.44, Draw :0.27
05/11/2017-Man City-Arsenal, O_Home:3.02815, D_Home:0.70288, O_Away:2.3807, D_Away:1.01843, Rest Home3, Rest Away2, Win :0.67, Draw :0.18
05/11/2017-Tottenham-Crystal Palace, O_Home:2.33319, D_Home:0.70062, O_Away:1.39402, D_Away:1.28016, Rest Home3, Rest Away7, Win :0.81, Draw :0.14
18/11/2017-Arsenal-Tottenham, O_Home:2.25404, D_Home:0.99511, O_Away:2.27086, D_Away:0.69534, Rest Home12, Rest Away12, Win :0.35, Draw :0.26
18/11/2017-Bournemouth-Huddersfield, O_Home:1.33922, D_Home:1.24338, O_Away:0.99446, D_Away:1.25783, Rest Home13, Rest Away13, Win :0.52, Draw :0.29
18/11/2017-Burnley-Swansea, O_Home:1.32459, D_Home:1.07122, O_Away:1.21845, D_Away:1.22492, Rest Home13, Rest Away13, Win :0.5, Draw :0.3
18/11/2017-Crystal Palace-Everton, O_Home:1.3858, D_Home:1.24061, O_Away:1.53575, D_Away:1.27453, Rest Home13, Rest Away12, Win :0.42, Draw :0.27
18/11/2017-Leicester-Man City, O_Home:1.59279, D_Home:1.1689, O_Away:3.01913, D_Away:0.69124, Rest Home14, Rest Away12, Win :0.13, Draw :0.18
18/11/2017-Liverpool-Southampton, O_Home:2.39211, D_Home:0.89631, O_Away:1.39205, D_Away:1.09918, Rest Home13, Rest Away13, Win :0.69, Draw :0.2
18/11/2017-Man United-Newcastle, O_Home:2.22021, D_Home:0.68552, O_Away:1.22284, D_Away:1.19901, Rest Home12, Rest Away14, Win :0.81, Draw :0.15
18/11/2017-West Brom-Chelsea, O_Home:1.19618, D_Home:1.15798, O_Away:2.3238, D_Away:0.86236, Rest Home13, Rest Away12, Win :0.18, Draw :0.24
19/11/2017-Watford-West Ham, O_Home:1.55626, D_Home:1.29719, O_Away:1.43791, D_Away:1.37559, Rest Home13, Rest Away14, Win :0.49, Draw :0.25
20/11/2017-Brighton-Stoke, O_Home:1.1403, D_Home:1.19673, O_Away:1.53048, D_Away:1.2778, Rest Home16, Rest Away16, Win :0.37, Draw :0.29
24/11/2017-West Ham-Leicester, O_Home:1.41481, D_Home:1.37577, O_Away:1.52212, D_Away:1.15702, Rest Home5, Rest Away6, Win :0.37, Draw :0.27
25/11/2017-Crystal Palace-Stoke, O_Home:1.41485, D_Home:1.25916, O_Away:1.56152, D_Away:1.29124, Rest Home6, Rest Away4, Win :0.42, Draw :0.27
25/11/2017-Liverpool-Chelsea, O_Home:2.46637, D_Home:0.90427, O_Away:2.46257, D_Away:0.8201, Rest Home3, Rest Away2, Win :0.43, Draw :0.24
25/11/2017-Man United-Brighton, O_Home:2.25019, D_Home:0.71561, O_Away:1.15273, D_Away:1.22278, Rest Home2, Rest Away4, Win :0.82, Draw :0.14
25/11/2017-Newcastle-Watford, O_Home:1.27738, D_Home:1.24372, O_Away:1.55646, D_Away:1.27572, Rest Home6, Rest Away5, Win :0.39, Draw :0.28
25/11/2017-Swansea-Bournemouth, O_Home:1.19317, D_Home:1.24874, O_Away:1.40251, D_Away:1.25481, Rest Home6, Rest Away6, Win :0.39, Draw :0.29
25/11/2017-Tottenham-West Brom, O_Home:2.23837, D_Home:0.69826, O_Away:1.16159, D_Away:1.19457, Rest Home3, Rest Away6, Win :0.82, Draw :0.15
26/11/2017-Burnley-Arsenal, O_Home:1.34975, D_Home:1.04804, O_Away:2.30059, D_Away:0.96467, Rest Home7, Rest Away2, Win :0.25, Draw :0.26
26/11/2017-Huddersfield-Man City, O_Home:1.00429, D_Home:1.31839, O_Away:2.9103, D_Away:0.64574, Rest Home7, Rest Away4, Win :0.06, Draw :0.14
26/11/2017-Southampton-Everton, O_Home:1.36661, D_Home:1.11273, O_Away:1.55736, D_Away:1.30191, Rest Home7, Rest Away2, Win :0.47, Draw :0.27
28/11/2017-Brighton-Crystal Palace, O_Home:1.15273, D_Home:1.22278, O_Away:1.41485, D_Away:1.25916, Rest Home3, Rest Away3, Win :0.39, Draw :0.3
28/11/2017-Leicester-Tottenham, O_Home:1.52212, D_Home:1.15702, O_Away:2.23837, D_Away:0.69826, Rest Home3, Rest Away3, Win :0.21, Draw :0.25
28/11/2017-Watford-Man United, O_Home:1.55646, D_Home:1.27572, O_Away:2.25019, D_Away:0.71561, Rest Home3, Rest Away3, Win :0.21, Draw :0.24
28/11/2017-West Brom-Newcastle, O_Home:1.16159, D_Home:1.19457, O_Away:1.27738, D_Away:1.24372, Rest Home3, Rest Away3, Win :0.45, Draw :0.3
29/11/2017-Arsenal-Huddersfield, O_Home:2.30059, D_Home:0.96467, O_Away:1.00429, D_Away:1.31839, Rest Home3, Rest Away3, Win :0.83, Draw :0.14
29/11/2017-Bournemouth-Burnley, O_Home:1.40251, D_Home:1.25481, O_Away:1.34975, D_Away:1.04804, Rest Home4, Rest Away3, Win :0.41, Draw :0.31
29/11/2017-Chelsea-Swansea, O_Home:2.46257, D_Home:0.8201, O_Away:1.19317, D_Away:1.24874, Rest Home4, Rest Away4, Win :0.83, Draw :0.14
29/11/2017-Everton-West Ham, O_Home:1.55736, D_Home:1.30191, O_Away:1.41481, D_Away:1.37577, Rest Home3, Rest Away4, Win :0.45, Draw :0.26
29/11/2017-Man City-Southampton, O_Home:2.9103, D_Home:0.64574, O_Away:1.36661, D_Away:1.11273, Rest Home3, Rest Away3, Win :0.84, Draw :0.12
29/11/2017-Stoke-Liverpool, O_Home:1.56152, D_Home:1.29124, O_Away:2.46637, D_Away:0.90427, Rest Home4, Rest Away4, Win :0.2, Draw :0.22
02/12/2017-Arsenal-Man United, O_Home:2.35644, D_Home:0.89018, O_Away:2.24954, D_Away:0.75146, Rest Home2, Rest Away3, Win :0.42, Draw :0.26
